"","Gene","Annotation","Non.unique.Gene.name","ac_change_0","ac_change_1","ac_change_NA","ratio","gene.annotate","phage","hypothetical","transposase","caps","exclude"
"368","group_7309","putative metal-dependent membrane protease","",14,10,NA,0.939153439153439,"GROUP_7309 PUTATIVE METAL-DEPENDENT MEMBRANE PROTEASE ",FALSE,FALSE,FALSE,0,0
"369","group_7818","extracellular solute-binding protein","yesO_2",14,10,1,0.939153439153439,"GROUP_7818 EXTRACELLULAR SOLUTE-BINDING PROTEIN YESO_2",FALSE,FALSE,FALSE,0,0
"370","group_8577","membrane protein","",14,10,3,0.939153439153439,"GROUP_8577 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"371","group_9586","glycosyl hydrolases family 32","scrB",14,10,4,0.939153439153439,"GROUP_9586 GLYCOSYL HYDROLASES FAMILY 32 SCRB",FALSE,FALSE,FALSE,0,0
"372","group_9615","Membrane protein","",14,10,4,0.939153439153439,"GROUP_9615 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"373","pgdA","peptidoglycan N-acetylglucosamine deacetylase A","",14,10,4,0.939153439153439,"PGDA PEPTIDOGLYCAN N-ACETYLGLUCOSAMINE DEACETYLASE A ",FALSE,FALSE,FALSE,0,0
"374","glgB","14-alpha-glucan branching enzyme","",7,5,NA,0.939153439153439,"GLGB 14-ALPHA-GLUCAN BRANCHING ENZYME ",FALSE,FALSE,FALSE,0,0
"375","glxK","glycerate kinase","",7,5,NA,0.939153439153439,"GLXK GLYCERATE KINASE ",FALSE,FALSE,FALSE,0,0
"376","group_10312","deacylase","dapE",7,5,NA,0.939153439153439,"GROUP_10312 DEACYLASE DAPE",FALSE,FALSE,FALSE,0,0
"377","group_10987","multi antimicrobial extrusion (MATE) family transporter","mepA",7,5,2,0.939153439153439,"GROUP_10987 MULTI ANTIMICROBIAL EXTRUSION (MATE) FAMILY TRANSPORTER MEPA",FALSE,FALSE,FALSE,0,0
"378","group_11620","ABC transporter substrate-binding lipoprotein","tcyA_2",7,5,NA,0.939153439153439,"GROUP_11620 ABC TRANSPORTER SUBSTRATE-BINDING LIPOPROTEIN TCYA_2",FALSE,FALSE,FALSE,0,0
"379","group_11818","transporter major facilitator family protein","",7,5,NA,0.939153439153439,"GROUP_11818 TRANSPORTER MAJOR FACILITATOR FAMILY PROTEIN ",FALSE,FALSE,FALSE,0,0
"380","group_12787","tRNA (uracil-5-)-methyltransferase Gid","gidA_2",7,5,2,0.939153439153439,"GROUP_12787 TRNA (URACIL-5-)-METHYLTRANSFERASE GID GIDA_2",FALSE,FALSE,FALSE,0,0
"381","group_13388","serine/threonine protein phosphatase","",7,5,1,0.939153439153439,"GROUP_13388 SERINE/THREONINE PROTEIN PHOSPHATASE ",FALSE,FALSE,FALSE,0,0
"382","group_13747","major facilitator superfamily permease","",7,5,NA,0.939153439153439,"GROUP_13747 MAJOR FACILITATOR SUPERFAMILY PERMEASE ",FALSE,FALSE,FALSE,0,0
"383","group_13748","major facilitator superfamily permease","",7,5,NA,0.939153439153439,"GROUP_13748 MAJOR FACILITATOR SUPERFAMILY PERMEASE ",FALSE,FALSE,FALSE,0,0
"384","group_1527","Tn5253 CAAX amino terminal protease family","",7,5,NA,0.939153439153439,"GROUP_1527 TN5253 CAAX AMINO TERMINAL PROTEASE FAMILY ",FALSE,FALSE,FALSE,0,0
"385","group_15959","putative site-specific recombinase","",7,5,NA,0.939153439153439,"GROUP_15959 PUTATIVE SITE-SPECIFIC RECOMBINASE ",FALSE,FALSE,FALSE,0,0
"386","group_15969","biotin carboxylase","",7,5,1,0.939153439153439,"GROUP_15969 BIOTIN CARBOXYLASE ",FALSE,FALSE,FALSE,0,0
"387","group_17099","Chromosome segregation ATPase","",7,5,1,0.939153439153439,"GROUP_17099 CHROMOSOME SEGREGATION ATPASE ",FALSE,FALSE,FALSE,0,0
"388","group_20696","DUF218 domain","",7,5,1,0.939153439153439,"GROUP_20696 DUF218 DOMAIN ",FALSE,FALSE,FALSE,0,0
"389","group_2446","Membrane protein","",7,5,NA,0.939153439153439,"GROUP_2446 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"390","group_2665","McrBC 5-methylcytosine restriction system component","leuA",7,5,1,0.939153439153439,"GROUP_2665 MCRBC 5-METHYLCYTOSINE RESTRICTION SYSTEM COMPONENT LEUA",FALSE,FALSE,FALSE,0,0
"391","group_3777","pneumococcal histidine triad protein E","",7,5,NA,0.939153439153439,"GROUP_3777 PNEUMOCOCCAL HISTIDINE TRIAD PROTEIN E ",FALSE,FALSE,FALSE,0,0
"392","group_4023","AzlC family protein","ygaZ",7,5,NA,0.939153439153439,"GROUP_4023 AZLC FAMILY PROTEIN YGAZ",FALSE,FALSE,FALSE,0,0
"393","group_4162","Na+ ABC transporter ATP-binding protein","ecsA_2",7,5,1,0.939153439153439,"GROUP_4162 NA+ ABC TRANSPORTER ATP-BINDING PROTEIN ECSA_2",FALSE,FALSE,FALSE,0,0
"394","group_4945","zinc metallopeptidase","",7,5,NA,0.939153439153439,"GROUP_4945 ZINC METALLOPEPTIDASE ",FALSE,FALSE,FALSE,0,0
"395","group_7159","sensor histidine kinase","ypdA",7,5,NA,0.939153439153439,"GROUP_7159 SENSOR HISTIDINE KINASE YPDA",FALSE,FALSE,FALSE,0,0
"396","group_7349","transcriptional activator Rgg/GadR/MutR family protein","",7,5,NA,0.939153439153439,"GROUP_7349 TRANSCRIPTIONAL ACTIVATOR RGG/GADR/MUTR FAMILY PROTEIN ",FALSE,FALSE,FALSE,0,0
"397","group_9020","DUF1706 domain-containing protein","",7,5,NA,0.939153439153439,"GROUP_9020 DUF1706 DOMAIN-CONTAINING PROTEIN ",FALSE,FALSE,FALSE,0,0
"398","group_9144","ornithine decarboxylase family protein","speA",7,5,NA,0.939153439153439,"GROUP_9144 ORNITHINE DECARBOXYLASE FAMILY PROTEIN SPEA",FALSE,FALSE,FALSE,0,0
"399","group_9532","ABC transporter permease","metP",7,5,NA,0.939153439153439,"GROUP_9532 ABC TRANSPORTER PERMEASE METP",FALSE,FALSE,FALSE,0,0
"400","group_9611","Membrane protein","",7,5,1,0.939153439153439,"GROUP_9611 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"401","hsdM","type I restriction modification enzyme methylase subunit","",7,5,1,0.939153439153439,"HSDM TYPE I RESTRICTION MODIFICATION ENZYME METHYLASE SUBUNIT ",FALSE,FALSE,FALSE,0,0
"402","Int-Tn_2","DNA-binding protein","",7,5,4,0.939153439153439,"INT-TN_2 DNA-BINDING PROTEIN ",FALSE,FALSE,FALSE,0,0
"403","lafA","BlpM","",7,5,5,0.939153439153439,"LAFA BLPM ",FALSE,FALSE,FALSE,0,0
"404","lytC","14-beta-N-acetylmuramidase","",7,5,1,0.939153439153439,"LYTC 14-BETA-N-ACETYLMURAMIDASE ",FALSE,FALSE,FALSE,0,0
"405","mepA","multi antimicrobial extrusion (MATE) family transporter","",7,5,2,0.939153439153439,"MEPA MULTI ANTIMICROBIAL EXTRUSION (MATE) FAMILY TRANSPORTER ",FALSE,FALSE,FALSE,0,0
"406","murC_1","UDP-N-acetylmuramate--L-alanine ligase","",7,5,1,0.939153439153439,"MURC_1 UDP-N-ACETYLMURAMATE--L-ALANINE LIGASE ",FALSE,FALSE,FALSE,0,0
"407","nikS","nikkomycin biosynthesis protein carboxylase","",7,5,1,0.939153439153439,"NIKS NIKKOMYCIN BIOSYNTHESIS PROTEIN CARBOXYLASE ",FALSE,FALSE,FALSE,0,0
"408","ppsA_1","bacitracin synthetase 1 BacA","",7,5,1,0.939153439153439,"PPSA_1 BACITRACIN SYNTHETASE 1 BACA ",FALSE,FALSE,FALSE,0,0
"409","tcyA_1","ABC transporter substrate-binding lipoprotein","",7,5,NA,0.939153439153439,"TCYA_1 ABC TRANSPORTER SUBSTRATE-BINDING LIPOPROTEIN ",FALSE,FALSE,FALSE,0,0
"410","tcyA_2","ABC transporter substrate-binding lipoprotein","",7,5,NA,0.939153439153439,"TCYA_2 ABC TRANSPORTER SUBSTRATE-BINDING LIPOPROTEIN ",FALSE,FALSE,FALSE,0,0
"411","vanUG2","vanUG2","",7,5,1,0.939153439153439,"VANUG2 VANUG2 ",FALSE,FALSE,FALSE,0,0
"412","yetF","putative membrane protein yetF","",7,5,NA,0.939153439153439,"YETF PUTATIVE MEMBRANE PROTEIN YETF ",FALSE,FALSE,FALSE,0,0
"413","group_12707","S-ribosylhomocysteinase","luxS",24,17,NA,0.931327160493827,"GROUP_12707 S-RIBOSYLHOMOCYSTEINASE LUXS",FALSE,FALSE,FALSE,0,0
"414","group_15582","DNA-binding protein","rex",24,17,5,0.931327160493827,"GROUP_15582 DNA-BINDING PROTEIN REX",FALSE,FALSE,FALSE,0,0
"415","group_6483","Leader peptidase","",24,17,4,0.931327160493827,"GROUP_6483 LEADER PEPTIDASE ",FALSE,FALSE,FALSE,0,0
"416","rex","DNA-binding protein","",24,17,5,0.931327160493827,"REX DNA-BINDING PROTEIN ",FALSE,FALSE,FALSE,0,0
"417","group_13890","undecaprenol kinase","bacA",17,12,NA,0.928104575163399,"GROUP_13890 UNDECAPRENOL KINASE BACA",FALSE,FALSE,FALSE,0,0
"418","group_3664","major facilitator superfamily permease","",17,12,2,0.928104575163399,"GROUP_3664 MAJOR FACILITATOR SUPERFAMILY PERMEASE ",FALSE,FALSE,FALSE,0,0
"419","sapB","putative Mg2+ transporter-C","",17,12,1,0.928104575163399,"SAPB PUTATIVE MG2+ TRANSPORTER-C ",FALSE,FALSE,FALSE,0,0
"420","group_4824","ABC transporter ATP-binding protein","macB_1",20,14,4,0.92037037037037,"GROUP_4824 ABC TRANSPORTER ATP-BINDING PROTEIN MACB_1",FALSE,FALSE,FALSE,0,0
"421","group_7863","glycerol kinase","glpK",20,14,2,0.92037037037037,"GROUP_7863 GLYCEROL KINASE GLPK",FALSE,FALSE,FALSE,0,0
"422","ltrA","reverse transcriptase/maturase group FT II introns","",20,14,3,0.92037037037037,"LTRA REVERSE TRANSCRIPTASE/MATURASE GROUP FT II INTRONS ",FALSE,FALSE,FALSE,0,0
"423","aqpZ","aquaporin Z","",10,7,5,0.92037037037037,"AQPZ AQUAPORIN Z ",FALSE,FALSE,FALSE,0,0
"424","group_114","N-ethylammeline chlorohydrolase","",10,7,2,0.92037037037037,"GROUP_114 N-ETHYLAMMELINE CHLOROHYDROLASE ",FALSE,FALSE,FALSE,0,0
"425","group_2498","Ser/Thr protein phosphatase family protein","",10,7,NA,0.92037037037037,"GROUP_2498 SER/THR PROTEIN PHOSPHATASE FAMILY PROTEIN ",FALSE,FALSE,FALSE,0,0
"426","group_2626","transcriptional regulator","mutR",10,7,1,0.92037037037037,"GROUP_2626 TRANSCRIPTIONAL REGULATOR MUTR",FALSE,FALSE,FALSE,0,0
"427","group_8623","amino acid ABC transporter amino acid-binding protein","tcyJ",10,7,NA,0.92037037037037,"GROUP_8623 AMINO ACID ABC TRANSPORTER AMINO ACID-BINDING PROTEIN TCYJ",FALSE,FALSE,FALSE,0,0
"428","ssb","single-strand binding protein","",10,7,1,0.92037037037037,"SSB SINGLE-STRAND BINDING PROTEIN ",FALSE,FALSE,FALSE,0,0
"429","tcyJ","amino acid ABC transporter amino acid-binding protein","",10,7,NA,0.92037037037037,"TCYJ AMINO ACID ABC TRANSPORTER AMINO ACID-BINDING PROTEIN ",FALSE,FALSE,FALSE,0,0
"430","group_14296","X-Pro dipeptidase","pepQ",23,16,1,0.914653784219002,"GROUP_14296 X-PRO DIPEPTIDASE PEPQ",FALSE,FALSE,FALSE,0,0
"431","group_6257","lipoprotein putative","aliB2",23,16,3,0.914653784219002,"GROUP_6257 LIPOPROTEIN PUTATIVE ALIB2",FALSE,FALSE,FALSE,0,0
"432","lagD_1","Bacteriocin ABC transoporter","",23,16,7,0.914653784219002,"LAGD_1 BACTERIOCIN ABC TRANSOPORTER ",FALSE,FALSE,FALSE,0,0
"433","pepQ","X-Pro dipeptidase","",23,16,1,0.914653784219002,"PEPQ X-PRO DIPEPTIDASE ",FALSE,FALSE,FALSE,0,0
"434","group_12592","lactose-specific phosphotransferase EIIA","lacF_2",13,9,NA,0.91025641025641,"GROUP_12592 LACTOSE-SPECIFIC PHOSPHOTRANSFERASE EIIA LACF_2",FALSE,FALSE,FALSE,0,0
"435","group_14996","flavodoxin","",13,9,1,0.91025641025641,"GROUP_14996 FLAVODOXIN ",FALSE,FALSE,FALSE,0,0
"436","group_2048","dihydrofolate synthetase","sulB",13,9,1,0.91025641025641,"GROUP_2048 DIHYDROFOLATE SYNTHETASE SULB",FALSE,FALSE,FALSE,0,0
"437","group_2784","surface protein (fragment)","sdrD",13,9,2,0.91025641025641,"GROUP_2784 SURFACE PROTEIN (FRAGMENT) SDRD",FALSE,FALSE,FALSE,0,0
"438","group_4597","Membrane protein","",13,9,6,0.91025641025641,"GROUP_4597 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"439","group_4965","carbamoylphosphate synthase large subunit","",13,9,NA,0.91025641025641,"GROUP_4965 CARBAMOYLPHOSPHATE SYNTHASE LARGE SUBUNIT ",FALSE,FALSE,FALSE,0,0
"440","group_9342","integrase","xerD",13,9,NA,0.91025641025641,"GROUP_9342 INTEGRASE XERD",FALSE,FALSE,FALSE,0,0
"441","yhfQ","iron ABC transporter substrate-binding protein","",13,9,1,0.91025641025641,"YHFQ IRON ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN ",FALSE,FALSE,FALSE,0,0
"442","group_6411","30S ribosomal protein S4","rpsD",29,20,6,0.906768837803321,"GROUP_6411 30S RIBOSOMAL PROTEIN S4 RPSD",FALSE,FALSE,FALSE,0,0
"443","asd","aspartate-semialdehyde dehydrogenase","",16,11,2,0.903935185185185,"ASD ASPARTATE-SEMIALDEHYDE DEHYDROGENASE ",FALSE,FALSE,FALSE,0,0
"444","group_13412","aspartate-semialdehyde dehydrogenase","asd",16,11,2,0.903935185185185,"GROUP_13412 ASPARTATE-SEMIALDEHYDE DEHYDROGENASE ASD",FALSE,FALSE,FALSE,0,0
"445","group_13996","catabolite control protein","ccpA_2",16,11,1,0.903935185185185,"GROUP_13996 CATABOLITE CONTROL PROTEIN CCPA_2",FALSE,FALSE,FALSE,0,0
"446","group_4772","esterase","",16,11,1,0.903935185185185,"GROUP_4772 ESTERASE ",FALSE,FALSE,FALSE,0,0
"447","malK_2","binding-protein-dependent transport systems inner membrane component","",16,11,1,0.903935185185185,"MALK_2 BINDING-PROTEIN-DEPENDENT TRANSPORT SYSTEMS INNER MEMBRANE COMPONENT ",FALSE,FALSE,FALSE,0,0
"448","group_13690","Chromosome partitioning protein parB","",19,13,1,0.899610136452242,"GROUP_13690 CHROMOSOME PARTITIONING PROTEIN PARB ",FALSE,FALSE,FALSE,0,0
"449","group_6621","DNA modification methyltransferase M.XbaI","yhdJ",22,15,6,0.896464646464647,"GROUP_6621 DNA MODIFICATION METHYLTRANSFERASE M.XBAI YHDJ",FALSE,FALSE,FALSE,0,0
"450","group_13633","aminodeoxychorismate lyase","yceG",31,21,3,0.890681003584229,"GROUP_13633 AMINODEOXYCHORISMATE LYASE YCEG",FALSE,FALSE,FALSE,0,0
"451","yceG","aminodeoxychorismate lyase","",31,21,3,0.890681003584229,"YCEG AMINODEOXYCHORISMATE LYASE ",FALSE,FALSE,FALSE,0,0
"452","atpF","proton-translocating ATPase F0 sector subunit b","",33,22,3,0.876543209876543,"ATPF PROTON-TRANSLOCATING ATPASE F0 SECTOR SUBUNIT B ",FALSE,FALSE,FALSE,0,0
"453","group_17362","proton-translocating ATPase F0 sector subunit b","atpF",33,22,3,0.876543209876543,"GROUP_17362 PROTON-TRANSLOCATING ATPASE F0 SECTOR SUBUNIT B ATPF",FALSE,FALSE,FALSE,0,0
"454","group_2479","membrane protein","",21,14,1,0.876543209876543,"GROUP_2479 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"455","group_5108","UDP-phosphate-UDP-MurNAc-pentapeptide phospho-MurNAc-pentapeptide transferase","mraY",21,14,1,0.876543209876543,"GROUP_5108 UDP-PHOSPHATE-UDP-MURNAC-PENTAPEPTIDE PHOSPHO-MURNAC-PENTAPEPTIDE TRANSFERASE MRAY",FALSE,FALSE,FALSE,0,0
"456","mraY","UDP-phosphate-UDP-MurNAc-pentapeptide phospho-MurNAc-pentapeptide transferase","",21,14,1,0.876543209876543,"MRAY UDP-PHOSPHATE-UDP-MURNAC-PENTAPEPTIDE PHOSPHO-MURNAC-PENTAPEPTIDE TRANSFERASE ",FALSE,FALSE,FALSE,0,0
"457","Fucolectin-rel_2","repair protein","",18,12,NA,0.876543209876543,"FUCOLECTIN-REL_2 REPAIR PROTEIN ",FALSE,FALSE,FALSE,0,0
"458","group_5844","regulatory protein","",18,12,3,0.876543209876543,"GROUP_5844 REGULATORY PROTEIN ",FALSE,FALSE,FALSE,0,0
"459","group_9046","thioredoxin","",18,12,3,0.876543209876543,"GROUP_9046 THIOREDOXIN ",FALSE,FALSE,FALSE,0,0
"460","gdhA","glutamate dehydrogenase","",15,10,1,0.876543209876543,"GDHA GLUTAMATE DEHYDROGENASE ",FALSE,FALSE,FALSE,0,0
"461","group_14104","Phage protein","",15,10,NA,0.876543209876543,"GROUP_14104 PHAGE PROTEIN ",FALSE,FALSE,FALSE,0,0
"462","group_3467","helix-turn-helix domain protein","",15,10,NA,0.876543209876543,"GROUP_3467 HELIX-TURN-HELIX DOMAIN PROTEIN ",FALSE,FALSE,FALSE,0,0
"463","group_3929","iron ABC transporter iron-binding protein","potD_1",15,10,NA,0.876543209876543,"GROUP_3929 IRON ABC TRANSPORTER IRON-BINDING PROTEIN POTD_1",FALSE,FALSE,FALSE,0,0
"464","group_4027","branched-chain amino acid permease","ygaZ",12,8,NA,0.876543209876543,"GROUP_4027 BRANCHED-CHAIN AMINO ACID PERMEASE YGAZ",FALSE,FALSE,FALSE,0,0
"465","group_6267","acetyltransferase","",12,8,2,0.876543209876543,"GROUP_6267 ACETYLTRANSFERASE ",FALSE,FALSE,FALSE,0,0
"466","group_7862","glycerol kinase","glpK",12,8,1,0.876543209876543,"GROUP_7862 GLYCEROL KINASE GLPK",FALSE,FALSE,FALSE,0,0
"467","group_9968","XRE family transcriptional regulator","",12,8,NA,0.876543209876543,"GROUP_9968 XRE FAMILY TRANSCRIPTIONAL REGULATOR ",FALSE,FALSE,FALSE,0,0
"468","queF","7-cyano-7-deazaguanine reductase","",12,8,2,0.876543209876543,"QUEF 7-CYANO-7-DEAZAGUANINE REDUCTASE ",FALSE,FALSE,FALSE,0,0
"469","tcyA","ABC transporter substrate-binding lipoprotein","",12,8,NA,0.876543209876543,"TCYA ABC TRANSPORTER SUBSTRATE-BINDING LIPOPROTEIN ",FALSE,FALSE,FALSE,0,0
"470","capD","nucleoside-diphosphate sugar isomerase","",9,6,4,0.876543209876543,"CAPD NUCLEOSIDE-DIPHOSPHATE SUGAR ISOMERASE ",FALSE,FALSE,FALSE,0,0
"471","celA","glutathione synthetase","",9,6,NA,0.876543209876543,"CELA GLUTATHIONE SYNTHETASE ",FALSE,FALSE,FALSE,0,0
"472","celB_1","PTS system cellobiose transporter subunit IIB","",9,6,NA,0.876543209876543,"CELB_1 PTS SYSTEM CELLOBIOSE TRANSPORTER SUBUNIT IIB ",FALSE,FALSE,FALSE,0,0
"473","clpC_2","ATP-dependent Clp protease ATP-binding subunit","",9,6,1,0.876543209876543,"CLPC_2 ATP-DEPENDENT CLP PROTEASE ATP-BINDING SUBUNIT ",FALSE,FALSE,FALSE,0,0
"474","glgC","glucose-1-phosphate adenylyltransferase","",9,6,5,0.876543209876543,"GLGC GLUCOSE-1-PHOSPHATE ADENYLYLTRANSFERASE ",FALSE,FALSE,FALSE,0,0
"475","group_12067","ATP-dependent Clp protease ATP-binding subunit","clpC_2",9,6,4,0.876543209876543,"GROUP_12067 ATP-DEPENDENT CLP PROTEASE ATP-BINDING SUBUNIT CLPC_2",FALSE,FALSE,FALSE,0,0
"476","group_12171","ThiW superfamily protein","thiW",9,6,NA,0.876543209876543,"GROUP_12171 THIW SUPERFAMILY PROTEIN THIW",FALSE,FALSE,FALSE,0,0
"477","group_14871","nucleoside-diphosphate sugar isomerase","capD",9,6,1,0.876543209876543,"GROUP_14871 NUCLEOSIDE-DIPHOSPHATE SUGAR ISOMERASE CAPD",FALSE,FALSE,FALSE,0,0
"478","group_3450","membrane protein","",9,6,4,0.876543209876543,"GROUP_3450 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"479","group_3699","type II DNA modification methyltransferase","hhaIM",9,6,NA,0.876543209876543,"GROUP_3699 TYPE II DNA MODIFICATION METHYLTRANSFERASE HHAIM",FALSE,FALSE,FALSE,0,0
"480","group_4767","esterase","",9,6,NA,0.876543209876543,"GROUP_4767 ESTERASE ",FALSE,FALSE,FALSE,0,0
"481","group_7335","PTS system transporter subunit IIC","gmuC_1",9,6,1,0.876543209876543,"GROUP_7335 PTS SYSTEM TRANSPORTER SUBUNIT IIC GMUC_1",FALSE,FALSE,FALSE,0,0
"482","group_7424","response regulator","",9,6,1,0.876543209876543,"GROUP_7424 RESPONSE REGULATOR ",FALSE,FALSE,FALSE,0,0
"483","group_7812","DNA polymerase IV","dinP",9,6,NA,0.876543209876543,"GROUP_7812 DNA POLYMERASE IV DINP",FALSE,FALSE,FALSE,0,0
"484","group_8908","PTS transporter","",9,6,NA,0.876543209876543,"GROUP_8908 PTS TRANSPORTER ",FALSE,FALSE,FALSE,0,0
"485","group_9468","antibiotic biosynthesis monooxygenase subfamily protein","",9,6,NA,0.876543209876543,"GROUP_9468 ANTIBIOTIC BIOSYNTHESIS MONOOXYGENASE SUBFAMILY PROTEIN ",FALSE,FALSE,FALSE,0,0
"486","licR_1","PTS system transporter subunit IIB","",9,6,NA,0.876543209876543,"LICR_1 PTS SYSTEM TRANSPORTER SUBUNIT IIB ",FALSE,FALSE,FALSE,0,0
"487","prtP","serine protease","",9,6,5,0.876543209876543,"PRTP SERINE PROTEASE ",FALSE,FALSE,FALSE,0,0
"488","thiW","ThiW superfamily protein","",9,6,NA,0.876543209876543,"THIW THIW SUPERFAMILY PROTEIN ",FALSE,FALSE,FALSE,0,0
"489","ald_1","alanine dehydrogenase","",6,4,NA,0.876543209876543,"ALD_1 ALANINE DEHYDROGENASE ",FALSE,FALSE,FALSE,0,0
"490","celB","competence protein CelB","",6,4,NA,0.876543209876543,"CELB COMPETENCE PROTEIN CELB ",FALSE,FALSE,FALSE,0,0
"491","celB_2","competence protein CelB","",6,4,NA,0.876543209876543,"CELB_2 COMPETENCE PROTEIN CELB ",FALSE,FALSE,FALSE,0,0
"492","gmuF","mannose-6-phosphate isomerase","",6,4,1,0.876543209876543,"GMUF MANNOSE-6-PHOSPHATE ISOMERASE ",FALSE,FALSE,FALSE,0,0
"493","group_13486","Cytoplasmic membrane protein LemA","lemA",6,4,NA,0.876543209876543,"GROUP_13486 CYTOPLASMIC MEMBRANE PROTEIN LEMA LEMA",FALSE,FALSE,FALSE,0,0
"494","group_3256","lantibiotic synthetase","irtB",6,4,1,0.876543209876543,"GROUP_3256 LANTIBIOTIC SYNTHETASE IRTB",FALSE,FALSE,FALSE,0,0
"495","group_4813","exported glycosyl hydrolase","fucI",6,4,NA,0.876543209876543,"GROUP_4813 EXPORTED GLYCOSYL HYDROLASE FUCI",FALSE,FALSE,FALSE,0,0
"496","group_5141","PTS system transporter subunit IIBC","ptsG_1",6,4,2,0.876543209876543,"GROUP_5141 PTS SYSTEM TRANSPORTER SUBUNIT IIBC PTSG_1",FALSE,FALSE,FALSE,0,0
"497","group_5937","polar amino acid ABC uptake transporter substrate binding protein","fliY",6,4,NA,0.876543209876543,"GROUP_5937 POLAR AMINO ACID ABC UPTAKE TRANSPORTER SUBSTRATE BINDING PROTEIN FLIY",FALSE,FALSE,FALSE,0,0
"498","group_6481","Leader peptidase","",6,4,NA,0.876543209876543,"GROUP_6481 LEADER PEPTIDASE ",FALSE,FALSE,FALSE,0,0
"499","group_7344","cell wall surface anchor family protein","psrP",6,4,2,0.876543209876543,"GROUP_7344 CELL WALL SURFACE ANCHOR FAMILY PROTEIN PSRP",FALSE,FALSE,FALSE,0,0
"500","group_7431","ABC transporter ATP-binding protein","kpsT",6,4,NA,0.876543209876543,"GROUP_7431 ABC TRANSPORTER ATP-BINDING PROTEIN KPST",FALSE,FALSE,FALSE,0,0
"501","group_7443","immunity protein BlpL","",6,4,2,0.876543209876543,"GROUP_7443 IMMUNITY PROTEIN BLPL ",FALSE,FALSE,FALSE,0,0
"502","group_8862","DNA mismatch repair protein MutS","hexA",6,4,NA,0.876543209876543,"GROUP_8862 DNA MISMATCH REPAIR PROTEIN MUTS HEXA",FALSE,FALSE,FALSE,0,0
"503","group_9922","acetyltransferase","",6,4,NA,0.876543209876543,"GROUP_9922 ACETYLTRANSFERASE ",FALSE,FALSE,FALSE,0,0
"504","IS1381-truncation_2","mobile genetic element","",6,4,2,0.876543209876543,"IS1381-TRUNCATION_2 MOBILE GENETIC ELEMENT ",FALSE,FALSE,FALSE,0,0
"505","lemA","Cytoplasmic membrane protein LemA","",6,4,NA,0.876543209876543,"LEMA CYTOPLASMIC MEMBRANE PROTEIN LEMA ",FALSE,FALSE,FALSE,0,0
"506","ptsG_1","PTS system transporter subunit IIBC","",6,4,2,0.876543209876543,"PTSG_1 PTS SYSTEM TRANSPORTER SUBUNIT IIBC ",FALSE,FALSE,FALSE,0,0
"507","hsdS_1","type I restriction-modification system subunit S","",23,15,3,0.857487922705314,"HSDS_1 TYPE I RESTRICTION-MODIFICATION SYSTEM SUBUNIT S ",FALSE,FALSE,FALSE,0,0
"508","group_2509","iron ABC transporter membrane-spanning permease","ydcU",20,13,1,0.85462962962963,"GROUP_2509 IRON ABC TRANSPORTER MEMBRANE-SPANNING PERMEASE YDCU",FALSE,FALSE,FALSE,0,0
"509","group_2634","PTS system IIB component (galactitol/fructose specific)","lepA",20,13,8,0.85462962962963,"GROUP_2634 PTS SYSTEM IIB COMPONENT (GALACTITOL/FRUCTOSE SPECIFIC) LEPA",FALSE,FALSE,FALSE,0,0
"510","group_4063","competence factor transporting ATP-binding protein/permease ComA","comA",20,13,5,0.85462962962963,"GROUP_4063 COMPETENCE FACTOR TRANSPORTING ATP-BINDING PROTEIN/PERMEASE COMA COMA",FALSE,FALSE,FALSE,0,0
"511","group_12158","putative Mg2+ transporter-C","sapB",17,11,1,0.850762527233116,"GROUP_12158 PUTATIVE MG2+ TRANSPORTER-C SAPB",FALSE,FALSE,FALSE,0,0
"512","group_14733","Membrane protein","",17,11,NA,0.850762527233116,"GROUP_14733 MEMBRANE PROTEIN ",FALSE,FALSE,FALSE,0,0
"513","group_5762","glycosyltransferase involved in cell wall biogenesis","kfoC_2",17,11,9,0.850762527233116,"GROUP_5762 GLYCOSYLTRANSFERASE INVOLVED IN CELL WALL BIOGENESIS KFOC_2",FALSE,FALSE,FALSE,0,0
"514","group_11929","excreted peptide","",14,9,1,0.845238095238095,"GROUP_11929 EXCRETED PEPTIDE ",FALSE,FALSE,FALSE,0,0
"515","group_11955","pneumococcal histidine triad protein E (Bvh-3)","phtE",14,9,3,0.845238095238095,"GROUP_11955 PNEUMOCOCCAL HISTIDINE TRIAD PROTEIN E (BVH-3) PHTE",FALSE,FALSE,FALSE,0,0
"516","group_13314","Ser/Thr protein phosphatase family protein","",14,9,NA,0.845238095238095,"GROUP_13314 SER/THR PROTEIN PHOSPHATASE FAMILY PROTEIN ",FALSE,FALSE,FALSE,0,0
"517","group_3060","putative holin 1","",14,9,1,0.845238095238095,"GROUP_3060 PUTATIVE HOLIN 1 ",FALSE,FALSE,FALSE,0,0
