"","coef","Gene"
"YESN_TWO-COMPONENT RESPONSE REGULATOR",0.121116699022809,"YESN_TWO-COMPONENT RESPONSE REGULATOR"
"GROUP_4894_ENDONUCLEASE/EXONUCLEASE/PHOSPHATASE FAMILY",0.120568554295855,"GROUP_4894_ENDONUCLEASE/EXONUCLEASE/PHOSPHATASE FAMILY"
"GROUP_3535_PHAGE PROTEIN",0.12010772703725,"GROUP_3535_PHAGE PROTEIN"
"GROUP_6787_PHAGE MINOR TAIL PROTEIN",0.120086972291744,"GROUP_6787_PHAGE MINOR TAIL PROTEIN"
"GROUP_12971_PUTATIVE PHAGE DNA BINDING PROTEIN",0.119763962170472,"GROUP_12971_PUTATIVE PHAGE DNA BINDING PROTEIN"
"GROUP_8250_PHOSPHOPENTOMUTASE",0.119709701577904,"GROUP_8250_PHOSPHOPENTOMUTASE"
"GROUP_15891_PARB-LIKE NUCLEASE DOMAIN",0.119304497422906,"GROUP_15891_PARB-LIKE NUCLEASE DOMAIN"
"GROUP_18189_DNA-BINDING PROTEIN HU 1",0.119153684478495,"GROUP_18189_DNA-BINDING PROTEIN HU 1"
"GROUP_984_CHLOROHYDROLASE",0.119005729697834,"GROUP_984_CHLOROHYDROLASE"
"GROUP_15185_ABC TRANSPORTER TRANSMEMBRANE PROTEIN VEXP3",0.118735875244177,"GROUP_15185_ABC TRANSPORTER TRANSMEMBRANE PROTEIN VEXP3"
"GROUP_14095_MOBILE ELEMENT PROTEIN",0.118476897760791,"GROUP_14095_MOBILE ELEMENT PROTEIN"
"FTSH3_AAA+ ATPASE FAMILY PROTEIN",0.11816179483648,"FTSH3_AAA+ ATPASE FAMILY PROTEIN"
"GROUP_5599_PHAGE PROTEIN",0.117759455154811,"GROUP_5599_PHAGE PROTEIN"
"MTLA_PTS SYSTEM MANNITOL-SPECIFIC TRANSPORTER SUBUNIT EIIBC",0.117551386672969,"MTLA_PTS SYSTEM MANNITOL-SPECIFIC TRANSPORTER SUBUNIT EIIBC"
"GROUP_6996_PHAGE PROTEIN",0.117120995058092,"GROUP_6996_PHAGE PROTEIN"
"SCRA_PUTATIVE SUCROSE-SPECIFIC PHOSPHOTRANSFERASE SYSTEM (PTS) IIABC COMPONENT",0.116507239980489,"SCRA_PUTATIVE SUCROSE-SPECIFIC PHOSPHOTRANSFERASE SYSTEM (PTS) IIABC COMPONENT"
"BLTD_GNAT FAMILY ACETYLTRANSFERASE",0.116241525154981,"BLTD_GNAT FAMILY ACETYLTRANSFERASE"
"GROUP_8509_IRON-DEPENDENT TRANSCRIPTIONAL REGULATOR",0.116165850552927,"GROUP_8509_IRON-DEPENDENT TRANSCRIPTIONAL REGULATOR"
"NPLT_1_NEOPULLULANASE",0.116093383272995,"NPLT_1_NEOPULLULANASE"
"NNRD_CARBOHYDRATE KINASE",0.115887072042699,"NNRD_CARBOHYDRATE KINASE"
"GROUP_14722_PHOSPHATE ABC TRANSPORTER ATP-BINDING PROTEIN",0.115879832316822,"GROUP_14722_PHOSPHATE ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_972_CHLOROHYDROLASE",0.115090518483202,"GROUP_972_CHLOROHYDROLASE"
"COMFA_HELICASE COMFA",0.114929911346149,"COMFA_HELICASE COMFA"
"GROUP_6397_SURFACE ANCHORED PROTEIN",0.114859546214539,"GROUP_6397_SURFACE ANCHORED PROTEIN"
"GROUP_13551_PHAGE HOLLIDAY JUNCTION RESOLVASE",0.114474690959824,"GROUP_13551_PHAGE HOLLIDAY JUNCTION RESOLVASE"
"GROUP_8917_HYDROLASE",0.114448598146812,"GROUP_8917_HYDROLASE"
"GROUP_13478_UTP-GLUCOSE-1-PHOSPHATE URIDYLYLTRANSFERASE",0.11437708131402,"GROUP_13478_UTP-GLUCOSE-1-PHOSPHATE URIDYLYLTRANSFERASE"
"SDH_DEHYDROGENASE",0.114017966518662,"SDH_DEHYDROGENASE"
"YEHU_1_TWO-COMPONENT SENSOR KINASE YESM",0.113805609131371,"YEHU_1_TWO-COMPONENT SENSOR KINASE YESM"
"GROUP_4739_GLYOXALASE",0.113762163016808,"GROUP_4739_GLYOXALASE"
"YBEZ_PHOH FAMILY PROTEIN",0.113514510909792,"YBEZ_PHOH FAMILY PROTEIN"
"GROUP_15826_BACTERIOPHAGE PI2 PROTEIN 36",0.113405374246832,"GROUP_15826_BACTERIOPHAGE PI2 PROTEIN 36"
"GROUP_2094_COMPETENCE-SPECIFIC GLOBAL TRANSCRIPTION MODULATOR",0.113288004694451,"GROUP_2094_COMPETENCE-SPECIFIC GLOBAL TRANSCRIPTION MODULATOR"
"GROUP_10981_SERINE/THREONINE PROTEIN PHOSPHATASE",0.112402189766061,"GROUP_10981_SERINE/THREONINE PROTEIN PHOSPHATASE"
"GROUP_4774_ESTERASE SUPERFAMILY PROTEIN",0.111953350722279,"GROUP_4774_ESTERASE SUPERFAMILY PROTEIN"
"GROUP_10672_ABC TRANSPORTER ATP-BINDING PROTEIN/PERMEASE",0.111468085216227,"GROUP_10672_ABC TRANSPORTER ATP-BINDING PROTEIN/PERMEASE"
"GROUP_4063_COMPETENCE FACTOR TRANSPORTING ATP-BINDING PROTEIN/PERMEASE COMA",0.111377276050641,"GROUP_4063_COMPETENCE FACTOR TRANSPORTING ATP-BINDING PROTEIN/PERMEASE COMA"
"GROUP_7162_SENSOR HISTIDINE KINASE",0.111087270908454,"GROUP_7162_SENSOR HISTIDINE KINASE"
"GROUP_11508_UNCHARACTERIZED PROTEIN CONSERVED IN BACTERIA",0.110701915643996,"GROUP_11508_UNCHARACTERIZED PROTEIN CONSERVED IN BACTERIA"
"GROUP_173_CHLOROHYDROLASE",0.110652668161958,"GROUP_173_CHLOROHYDROLASE"
"GROUP_3655_2-ISOPROPYLMALATE SYNTHASE",0.11033695891581,"GROUP_3655_2-ISOPROPYLMALATE SYNTHASE"
"POTD_1_IRON ABC TRANSPORTER IRON-BINDING PROTEIN",0.11020752545016,"POTD_1_IRON ABC TRANSPORTER IRON-BINDING PROTEIN"
"GRAS_HISTIDINE KINASE",0.11020689480901,"GRAS_HISTIDINE KINASE"
"GROUP_13744_ABC TRANSPORTER PERMEASE",0.109880686635426,"GROUP_13744_ABC TRANSPORTER PERMEASE"
"GROUP_16811_BACTERIOPHAGE PI2 PROTEIN 35",0.109606804357836,"GROUP_16811_BACTERIOPHAGE PI2 PROTEIN 35"
"GROUP_8070_PREPROTEIN TRANSLOCASE SUBUNIT SECA",0.109308796132696,"GROUP_8070_PREPROTEIN TRANSLOCASE SUBUNIT SECA"
"GROUP_9758_78-DIHYDRO-8-OXOGUANINE-TRIPHOSPHATASE",0.108684282199948,"GROUP_9758_78-DIHYDRO-8-OXOGUANINE-TRIPHOSPHATASE"
"YBHF_ABC TRANSPORTER ATP-BINDING PROTEIN",0.108667376709298,"YBHF_ABC TRANSPORTER ATP-BINDING PROTEIN"
"HYAD_2_PUTATIVE GLYCOSYLTRANSFERASE",0.1083171520743,"HYAD_2_PUTATIVE GLYCOSYLTRANSFERASE"
"GROUP_11485_ALPHA-L-FUCOSIDASE",0.107825016476254,"GROUP_11485_ALPHA-L-FUCOSIDASE"
"HSDM2_TYPE I RESTRICTION-MODIFICATION SYSTEM METHYLATION SUBUNIT",0.107689136238042,"HSDM2_TYPE I RESTRICTION-MODIFICATION SYSTEM METHYLATION SUBUNIT"
"GROUP_5420_TRANSPORTER MAJOR FACILITATOR FAMILY PROTEIN",0.107104620176997,"GROUP_5420_TRANSPORTER MAJOR FACILITATOR FAMILY PROTEIN"
"GROUP_11315_MEMBRANE PROTEIN",0.107093132430626,"GROUP_11315_MEMBRANE PROTEIN"
"GROUP_13382_PHAGE-RELATED MINOR TAIL PROTEIN",0.1070024792197,"GROUP_13382_PHAGE-RELATED MINOR TAIL PROTEIN"
"GROUP_6418_30S RIBOSOMAL PROTEIN S4",0.106883211557126,"GROUP_6418_30S RIBOSOMAL PROTEIN S4"
"GROUP_14981_HISTIDINE KINASE",0.106625721322754,"GROUP_14981_HISTIDINE KINASE"
"GROUP_4765_ESTERASE",0.106591389161117,"GROUP_4765_ESTERASE"
"RELA_GTP PYROPHOSPHOKINASE STRINGENT RESPONSE PROTEIN",0.106549390770693,"RELA_GTP PYROPHOSPHOKINASE STRINGENT RESPONSE PROTEIN"
"GROUP_8057_LICHENAN PERMEASE IIC COMPONENT (PTS SYSTEM LICHENAN-SPECIFIC EIICCOMPONENT) (EIIC-LIC)",0.105723955966028,"GROUP_8057_LICHENAN PERMEASE IIC COMPONENT (PTS SYSTEM LICHENAN-SPECIFIC EIICCOMPONENT) (EIIC-LIC)"
"GROUP_4783_PEPTIDASE M20 SUPERFAMILY",0.10566391335342,"GROUP_4783_PEPTIDASE M20 SUPERFAMILY"
"COMB_COMPETENCE FACTOR TRANSPORT PROTEIN COMB",0.105195855648604,"COMB_COMPETENCE FACTOR TRANSPORT PROTEIN COMB"
"GROUP_13006_FERROCHELATASE",0.104901300971336,"GROUP_13006_FERROCHELATASE"
"GROUP_15344_PHAGE PROTEIN",0.104857712119205,"GROUP_15344_PHAGE PROTEIN"
"GROUP_7449_BLPT PROTEIN FUSION",0.104573942437126,"GROUP_7449_BLPT PROTEIN FUSION"
"GROUP_5205_METHYLTRANSFERASE SMALL DOMAIN SUPERFAMILY PROTEIN",0.104372905588336,"GROUP_5205_METHYLTRANSFERASE SMALL DOMAIN SUPERFAMILY PROTEIN"
"LAFA_BLPM",0.104348869240819,"LAFA_BLPM"
"BACA_UNDECAPRENOL KINASE",0.10424330065456,"BACA_UNDECAPRENOL KINASE"
"MAP_METHIONYL AMINOPEPTIDASE",0.104139718770073,"MAP_METHIONYL AMINOPEPTIDASE"
"YVGN_25-DIKETO-D-GLUCONIC ACID REDUCTASE A",0.10413678724788,"YVGN_25-DIKETO-D-GLUCONIC ACID REDUCTASE A"
"ULAA_1_PTS SYSTEM IIC COMPONENT",0.104028714504256,"ULAA_1_PTS SYSTEM IIC COMPONENT"
"SPOT_METAL DEPENDENT PHOSPHOHYDROLASE HD REGION",0.103768253257735,"SPOT_METAL DEPENDENT PHOSPHOHYDROLASE HD REGION"
"GROUP_5299_AMINO ACID ABC TRANSPORTER ATP-BINDING PROTEIN",0.103486485771266,"GROUP_5299_AMINO ACID ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_6634_POLYRIBONUCLEOTIDE NUCLEOTIDYLTRANSFERASE",0.103309803768264,"GROUP_6634_POLYRIBONUCLEOTIDE NUCLEOTIDYLTRANSFERASE"
"LYTA_6_AUTOLYSIN",0.10321123934152,"LYTA_6_AUTOLYSIN"
"GROUP_2660_GTP-BINDING PROTEIN LEPA",0.103108194081424,"GROUP_2660_GTP-BINDING PROTEIN LEPA"
"SSB_SINGLE-STRAND BINDING PROTEIN",0.102964452892781,"SSB_SINGLE-STRAND BINDING PROTEIN"
"GROUP_9397_LACTOYLGLUTATHIONE LYASE",0.102818876268312,"GROUP_9397_LACTOYLGLUTATHIONE LYASE"
"GLNA_GLUTAMATE-AMMONIA LIGASE",0.102749577033144,"GLNA_GLUTAMATE-AMMONIA LIGASE"
"GROUP_19849_PHAGE PROTEIN",0.102602988055922,"GROUP_19849_PHAGE PROTEIN"
"GROUP_9060_ACCESSORY SECRETORY PROTEIN ASP1",0.102596201840416,"GROUP_9060_ACCESSORY SECRETORY PROTEIN ASP1"
"DPNB_TYPE II RESTRICTION ENZYME DPNII",0.102557914506812,"DPNB_TYPE II RESTRICTION ENZYME DPNII"
"GROUP_5665_TOPOLOGY MODULATION PROTEIN",0.10220451464275,"GROUP_5665_TOPOLOGY MODULATION PROTEIN"
"GROUP_10137_TRANSCRIPTIONAL REGULATOR",0.102144446816444,"GROUP_10137_TRANSCRIPTIONAL REGULATOR"
"MEPA_MULTI ANTIMICROBIAL EXTRUSION (MATE) FAMILY TRANSPORTER",0.101741313957868,"MEPA_MULTI ANTIMICROBIAL EXTRUSION (MATE) FAMILY TRANSPORTER"
"GROUP_10460_YPJC",0.101547672955858,"GROUP_10460_YPJC"
"GROUP_7261_PENICILLIN-BINDING PROTEIN 2X",0.101529196666766,"GROUP_7261_PENICILLIN-BINDING PROTEIN 2X"
"METN2_ATP-BINDING TRANSPORT PROTEIN",0.101320998188438,"METN2_ATP-BINDING TRANSPORT PROTEIN"
"GROUP_14688_PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE (DAHP SYNTHETASE)-POSSIBLY TYR-SENSITIVE",0.101296189077596,"GROUP_14688_PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE (DAHP SYNTHETASE)-POSSIBLY TYR-SENSITIVE"
"GROUP_14610_RIBOFLAVIN BIOSYNTHESIS PROTEIN RIBD",0.101258434900084,"GROUP_14610_RIBOFLAVIN BIOSYNTHESIS PROTEIN RIBD"
"GROUP_10893_SULFITE EXPORTER TAUE/SAFE",0.101036114365378,"GROUP_10893_SULFITE EXPORTER TAUE/SAFE"
"MACB_1_BACTERIOCIN IMMUNITY PROTEIN",0.101007138930278,"MACB_1_BACTERIOCIN IMMUNITY PROTEIN"
"GROUP_3721_ALPHA-ACETOLACTATE DECARBOXYLASE",0.100672820975707,"GROUP_3721_ALPHA-ACETOLACTATE DECARBOXYLASE"
"GROUP_4008_OLIGOPEPTIDE BINDING LIPOPROTEIN",0.10056897164881,"GROUP_4008_OLIGOPEPTIDE BINDING LIPOPROTEIN"
"GROUP_208_CHOLINE BINDING PROTEIN A",0.100275866127622,"GROUP_208_CHOLINE BINDING PROTEIN A"
"GROUP_10399_DRTGG DOMAIN/CBS DOMAIN-CONTAINING PROTEIN",0.099700980025788,"GROUP_10399_DRTGG DOMAIN/CBS DOMAIN-CONTAINING PROTEIN"
"GROUP_10098_POTASSIUM UPTAKE PROTEIN",0.0996783571961181,"GROUP_10098_POTASSIUM UPTAKE PROTEIN"
"GROUP_2725_PHAGE HOLIN LL-H FAMILY",0.0995071434846252,"GROUP_2725_PHAGE HOLIN LL-H FAMILY"
"GROUP_6529_PUTATIVE TRANSCRIPTIONAL REGULATOR",0.0994839879770494,"GROUP_6529_PUTATIVE TRANSCRIPTIONAL REGULATOR"
"GROUP_9030_HELICASE",0.098460114271972,"GROUP_9030_HELICASE"
"GROUP_4318_CHAP DOMAIN CONTAINING PROTEIN",0.0982123587664169,"GROUP_4318_CHAP DOMAIN CONTAINING PROTEIN"
"GROUP_7649_FERRICHROME TRANSPORT ATP-BINDING PROTEIN FHUC",0.0979280060736314,"GROUP_7649_FERRICHROME TRANSPORT ATP-BINDING PROTEIN FHUC"
"GROUP_14124_PUTATIVE UNCHARACTERIZED PROTEIN (HYDROPHILIC)",0.0978736673714203,"GROUP_14124_PUTATIVE UNCHARACTERIZED PROTEIN (HYDROPHILIC)"
"GROUP_3926_IRON(III) ABC TRANSPORTER IRON-BINDING PROTEIN",0.0976489715488529,"GROUP_3926_IRON(III) ABC TRANSPORTER IRON-BINDING PROTEIN"
"MLC_ROK FAMILY PROTEIN PUTATIVE",0.0976479723339247,"MLC_ROK FAMILY PROTEIN PUTATIVE"
"YIHX_HYDROLASE",0.0975831706232485,"YIHX_HYDROLASE"
"RL1_50S RIBOSOMAL PROTEIN L1",0.0972630753092311,"RL1_50S RIBOSOMAL PROTEIN L1"
"IGA_1_SURFACE PROTEIN (FRAGMENT)",0.09718079460627,"IGA_1_SURFACE PROTEIN (FRAGMENT)"
"RIMN_SUA5/YCIO/YRDC FAMILY PROTEIN",0.0970308062630865,"RIMN_SUA5/YCIO/YRDC FAMILY PROTEIN"
"GROUP_10083_CHROMOSOME SEGREGATION HELICASE ATPASE AAA FAMILY",0.0967632841982992,"GROUP_10083_CHROMOSOME SEGREGATION HELICASE ATPASE AAA FAMILY"
"AFR_GFO/IDH/MOCA FAMILY OXIDOREDUCTASE",0.0963785974143851,"AFR_GFO/IDH/MOCA FAMILY OXIDOREDUCTASE"
"MRAY_UDP-PHOSPHATE-UDP-MURNAC-PENTAPEPTIDE PHOSPHO-MURNAC-PENTAPEPTIDE TRANSFERASE",0.0962722054381122,"MRAY_UDP-PHOSPHATE-UDP-MURNAC-PENTAPEPTIDE PHOSPHO-MURNAC-PENTAPEPTIDE TRANSFERASE"
"GROUP_8439_PUTATIVE TRANSCRIPTIONAL REGULATOR MTLR",0.0962064679627101,"GROUP_8439_PUTATIVE TRANSCRIPTIONAL REGULATOR MTLR"
"GROUP_14746_TRNA URIDINE 5-CARBOXYMETHYLAMINOMETHYL MODIFICATION PROTEIN GIDA",0.0959311036511577,"GROUP_14746_TRNA URIDINE 5-CARBOXYMETHYLAMINOMETHYL MODIFICATION PROTEIN GIDA"
"GROUP_10317_PUTATIVE INTEGRAL MEMBRANE PROTEIN",0.0959250586315817,"GROUP_10317_PUTATIVE INTEGRAL MEMBRANE PROTEIN"
"GROUP_9699_PROTEIN OF UNKNOWN FUNCTION (DUF3847)",0.0954901862574396,"GROUP_9699_PROTEIN OF UNKNOWN FUNCTION (DUF3847)"
"GROUP_7597_PHAGE PROTEIN",0.09534633883551,"GROUP_7597_PHAGE PROTEIN"
"DRRA_1_MULTIDRUG ABC TRANSPORTER ATPASE",0.0947817504550467,"DRRA_1_MULTIDRUG ABC TRANSPORTER ATPASE"
"GROUP_2284_PTS SYSTEM TRANSPORTER SUBUNIT IIA",0.0946033902039545,"GROUP_2284_PTS SYSTEM TRANSPORTER SUBUNIT IIA"
"GROUP_9895_YCFA-LIKE PROTEIN",0.0945695622208837,"GROUP_9895_YCFA-LIKE PROTEIN"
"SECY_2_PREPROTEIN TRANSLOCASE SUBUNIT SECY",0.0941987421247288,"SECY_2_PREPROTEIN TRANSLOCASE SUBUNIT SECY"
"GROUP_11834_GMP REDUCTASE",0.0934817110451428,"GROUP_11834_GMP REDUCTASE"
"COMA_COMPETENCE FACTOR TRANSPORTING ATP-BINDING PROTEIN/PERMEASE COMA",0.0932867042713765,"COMA_COMPETENCE FACTOR TRANSPORTING ATP-BINDING PROTEIN/PERMEASE COMA"
"GROUP_8548_ALANINE AMINOTRANSFERASE",0.0932149852160203,"GROUP_8548_ALANINE AMINOTRANSFERASE"
"NADE_NAD+ SYNTHETASE",0.0930486118586323,"NADE_NAD+ SYNTHETASE"
"RLMCD_2_RNA METHYLTRANSFERASE",0.0930007581773277,"RLMCD_2_RNA METHYLTRANSFERASE"
"GROUP_15230_AMINOGLYCOSIDE 6'-N-ACETYLTRANSFERASE",0.0928401897638853,"GROUP_15230_AMINOGLYCOSIDE 6'-N-ACETYLTRANSFERASE"
"GROUP_126_CHLOROHYDROLASE",0.0928030943543538,"GROUP_126_CHLOROHYDROLASE"
"GROUP_3192_NITROREDUCTASE NADPH-FLAVIN OXIDOREDUCTASE",0.092786931591474,"GROUP_3192_NITROREDUCTASE NADPH-FLAVIN OXIDOREDUCTASE"
"LPD_OXIDOREDUCTASE PYRIDINE NUCLEOTIDE-DISULFIDE CLASS I MERCURY (II) REDUCTASE",0.0923636911292698,"LPD_OXIDOREDUCTASE PYRIDINE NUCLEOTIDE-DISULFIDE CLASS I MERCURY (II) REDUCTASE"
"GROUP_8493_PEPTIDOGLYCAN N-ACETYLGLUCOSAMINE DEACETYLASE A",0.092035093876104,"GROUP_8493_PEPTIDOGLYCAN N-ACETYLGLUCOSAMINE DEACETYLASE A"
"GROUP_9874_DGTP TRIPHOSPHOHYDROLASE",0.0918730945344859,"GROUP_9874_DGTP TRIPHOSPHOHYDROLASE"
"GROUP_15169_LYSYL-TRNA SYNTHETASE",0.0918714541799399,"GROUP_15169_LYSYL-TRNA SYNTHETASE"
"GROUP_9567_YLMH PROTEIN",0.0918457856200092,"GROUP_9567_YLMH PROTEIN"
"GROUP_9493_LIPOPROTEIN",0.0916821769776139,"GROUP_9493_LIPOPROTEIN"
"GROUP_3169_BACTERIOCIN-ASSOCIATED INTEGRAL MEMBRANE PROTEIN",0.0916467230543866,"GROUP_3169_BACTERIOCIN-ASSOCIATED INTEGRAL MEMBRANE PROTEIN"
"SCRK_FRUCTOKINASE",0.0914876056518796,"SCRK_FRUCTOKINASE"
"GROUP_12297_UNCHARACTERIZED PROTEIN CONSERVED IN BACTERIA",0.0914694458020482,"GROUP_12297_UNCHARACTERIZED PROTEIN CONSERVED IN BACTERIA"
"GROUP_7030_MEMBRANE PROTEIN",0.0914132432976446,"GROUP_7030_MEMBRANE PROTEIN"
"MACB_4_ABC TRANSPORTER ATP-BINDING PROTEIN",0.0913054790409943,"MACB_4_ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_11595_PHAGE PROTEIN",0.0912724929308297,"GROUP_11595_PHAGE PROTEIN"
"GROUP_2706_PROPHAGE PROTEIN",0.0911371077330209,"GROUP_2706_PROPHAGE PROTEIN"
"GROUP_1528_TN5253 BACTERIOCINE PUTATIVE",0.0911119448375425,"GROUP_1528_TN5253 BACTERIOCINE PUTATIVE"
"GROUP_15629_ABC TRANSPORTER PERMEASE",0.0910870476254913,"GROUP_15629_ABC TRANSPORTER PERMEASE"
"STRH_2_BETA-N-ACETYLHEXOSAMINIDASE",0.0909932863676624,"STRH_2_BETA-N-ACETYLHEXOSAMINIDASE"
"GROUP_6171_PNEUMOCOCCAL HISTIDINE TRIAD PROTEIN D PRECURSOR",0.0909519631886726,"GROUP_6171_PNEUMOCOCCAL HISTIDINE TRIAD PROTEIN D PRECURSOR"
"GROUP_13353_TRANSCRIPTIONAL REGULATOR",0.0906284998196449,"GROUP_13353_TRANSCRIPTIONAL REGULATOR"
"GROUP_13986_GTP-BINDING PROTEIN ENGA",0.0905809392245848,"GROUP_13986_GTP-BINDING PROTEIN ENGA"
"GROUP_13496_TAGATOSE-6-PHOSPHATE KETOSE/ALDOSE ISOMERASE",0.0905280541717568,"GROUP_13496_TAGATOSE-6-PHOSPHATE KETOSE/ALDOSE ISOMERASE"
"GROUP_6166_PNEUMOCOCCAL HISTIDINE TRIAD PROTEIN D PRECURSOR",0.0904532171761321,"GROUP_6166_PNEUMOCOCCAL HISTIDINE TRIAD PROTEIN D PRECURSOR"
"GMUC_3_LICHENAN PERMEASE IIC COMPONENT (PTS SYSTEM LICHENAN-SPECIFIC EIICCOMPONENT) (EIIC-LIC)",0.0903726948962539,"GMUC_3_LICHENAN PERMEASE IIC COMPONENT (PTS SYSTEM LICHENAN-SPECIFIC EIICCOMPONENT) (EIIC-LIC)"
"GROUP_9793_PUTATIVE TRANSCRIPTIONAL REGULATOR",0.0902442981644538,"GROUP_9793_PUTATIVE TRANSCRIPTIONAL REGULATOR"
"GROUP_12911_PUTATIVE TRANSCRIPTIONAL REGULATOR",0.0900055710238962,"GROUP_12911_PUTATIVE TRANSCRIPTIONAL REGULATOR"
"GROUP_4177_COMPETENCE FACTOR TRANSPORT PROTEIN COMB",0.0899539291721369,"GROUP_4177_COMPETENCE FACTOR TRANSPORT PROTEIN COMB"
"YDAF_4_ACETYLTRANSFERASE",0.0898470152159843,"YDAF_4_ACETYLTRANSFERASE"
"GROUP_11000_TRANSCRIPTIONAL REGULATOR",0.0897002280064294,"GROUP_11000_TRANSCRIPTIONAL REGULATOR"
"GROUP_11102_HISTIDINE KINASE",0.0896083253932474,"GROUP_11102_HISTIDINE KINASE"
"GROUP_8628_TPR DOMAIN PROTEIN",0.0896076405269396,"GROUP_8628_TPR DOMAIN PROTEIN"
"GROUP_12267_LACI FAMILY TRANSCRIPTIONAL REGULATOR",0.089087490795205,"GROUP_12267_LACI FAMILY TRANSCRIPTIONAL REGULATOR"
"GROUP_11884_LIPOPROTEIN PUTATIVE",0.0890237424275491,"GROUP_11884_LIPOPROTEIN PUTATIVE"
"GROUP_3411_L-LACTATE OXIDASE",0.0887166350215617,"GROUP_3411_L-LACTATE OXIDASE"
"GROUP_4162_NA+ ABC TRANSPORTER ATP-BINDING PROTEIN",0.0886914314003136,"GROUP_4162_NA+ ABC TRANSPORTER ATP-BINDING PROTEIN"
"GROUP_7356_TRANSCRIPTIONAL ACTIVATOR RGG/GADR/MUTR FAMILY PROTEIN",0.0886824919735291,"GROUP_7356_TRANSCRIPTIONAL ACTIVATOR RGG/GADR/MUTR FAMILY PROTEIN"
"GROUP_6132_BACTERIOCIN-ASSOCIATED INTEGRAL MEMBRANE PROTEIN",0.088528107576083,"GROUP_6132_BACTERIOCIN-ASSOCIATED INTEGRAL MEMBRANE PROTEIN"
"GROUP_13528_GLUTATHIONE REDUCTASE",0.0882434412342481,"GROUP_13528_GLUTATHIONE REDUCTASE"
"FRUA_1_PTS SYSTEM TRANSPORTER SUBUNIT IIC",0.0878431772333957,"FRUA_1_PTS SYSTEM TRANSPORTER SUBUNIT IIC"
"RAFA_ALPHA-GALACTOSIDASE AGAN",0.0877576304037389,"RAFA_ALPHA-GALACTOSIDASE AGAN"
"GROUP_1217_CHOLINE BINDING PROTEIN G",0.0876836773344435,"GROUP_1217_CHOLINE BINDING PROTEIN G"
"GROUP_10122_SAM-DEPENDENT METHYLTRANSFERASE",0.0875267917108664,"GROUP_10122_SAM-DEPENDENT METHYLTRANSFERASE"
"GROUP_17596_BACTERIOCIN",0.0873951149936997,"GROUP_17596_BACTERIOCIN"
"GROUP_3413_VOLTAGE-GATED CHLORIDE CHANNEL FAMILY PROTEIN",0.0872075216212117,"GROUP_3413_VOLTAGE-GATED CHLORIDE CHANNEL FAMILY PROTEIN"
"GROUP_3460_HELIX-TURN-HELIX DOMAIN PROTEIN",0.0869896502318375,"GROUP_3460_HELIX-TURN-HELIX DOMAIN PROTEIN"
"GROUP_1767_GBSI1 GROUP II INTRON MATURASE",0.0869625619240676,"GROUP_1767_GBSI1 GROUP II INTRON MATURASE"
"MANZ_3_PTS SYSTEM TRANSPORTER SUBUNIT IID",0.0869362060914632,"MANZ_3_PTS SYSTEM TRANSPORTER SUBUNIT IID"
"GROUP_5609_PHAGE PROTEIN",0.0868671730453827,"GROUP_5609_PHAGE PROTEIN"
"GROUP_5506_PUTATIVE HD SUPERFAMILY HYDROLASE",0.08649037100611,"GROUP_5506_PUTATIVE HD SUPERFAMILY HYDROLASE"
"BLPK_BACTERIOCIN BLPK",0.0864294925427722,"BLPK_BACTERIOCIN BLPK"
"GROUP_11057_DNA REPLICATION PROTEIN",0.0864160232271871,"GROUP_11057_DNA REPLICATION PROTEIN"
"METP_ABC TRANSPORTER PERMEASE",0.0862735215522452,"METP_ABC TRANSPORTER PERMEASE"
"PHOP_RESPONSE REGULATOR",0.0862317083182935,"PHOP_RESPONSE REGULATOR"
"GROUP_17622_CBXX/CFQX FAMILY PROTEIN",0.0861217402368076,"GROUP_17622_CBXX/CFQX FAMILY PROTEIN"
"GROUP_7347_ARYLSULFATASE",0.0859371244590466,"GROUP_7347_ARYLSULFATASE"
"SPAP_CELL WALL SURFACE ANCHOR FAMILY PROTEIN",0.0859318000157024,"SPAP_CELL WALL SURFACE ANCHOR FAMILY PROTEIN"
"GROUP_14420_MEMBRANE ASSOCIATED PROTEIN",0.0855815649710606,"GROUP_14420_MEMBRANE ASSOCIATED PROTEIN"
"GROUP_16358_BACTERIOPHAGE PI2 PROTEIN 38",0.0854960456677107,"GROUP_16358_BACTERIOPHAGE PI2 PROTEIN 38"
"MALX_1_BACTERIAL EXTRACELLULAR SOLUTE-BINDING PROTEIN",0.0854185500793249,"MALX_1_BACTERIAL EXTRACELLULAR SOLUTE-BINDING PROTEIN"
"ENGA_GTP-BINDING PROTEIN ENGA",0.0854113769471715,"ENGA_GTP-BINDING PROTEIN ENGA"
"PTS-EII_1_PTS SYSTEM IIA COMPONENT",0.0853890888575757,"PTS-EII_1_PTS SYSTEM IIA COMPONENT"
"GROUP_8467_LJ965 PROPHAGE PROTEIN",0.0850603525779796,"GROUP_8467_LJ965 PROPHAGE PROTEIN"
